Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
4219,1,OCT,1945,Douglas Dakota IV (DC-3),KN594,RAF,0,Yangon-Mingalado...,Myanmar,A1
4220,1,OCT,1945,Douglas C-47B (DC-3),43-48878,USAAF,,near Wiesensteig,Germany,A1
4221,1,OCT,1945,Douglas Dakota III (DC-3),FL613,RAF,,unknown,Unknown country,U1
4222,2,OCT,1945,Curtiss C-46D,44-77504,USAAF,,,Unknown country,A1
4223,2,OCT,1945,Douglas Dakota III (DC-3),KG513,RAF,0,Leicester East R...,U.K.,O1
4224,2,OCT,1945,PBV-1A Canso A (PBY-5A),FT999,RAF,0,near Belle Isle Landi...,Canada,A1
4225,2,OCT,1945,Douglas Dakota III (DC-3),FZ691,RAF,0,Leicester East R...,U.K.,A1
4226,3,OCT,1945,Douglas Dakota IV (DC-3),KN526,RAF,0,Jodhpur Airport ...,India,A1
4227,3,OCT,1945,Short Sunderland GR.5,PP158,RAF,0,Kuantan River,Malaysia,A1
4228,5,OCT,1945,Lockheed 18 Lodestar,NC18199,National Airlines,2,Lakeland -  FL,USA,A1
4229,5,OCT,1945,Douglas C-47B (DC-3),43-49646,USAAF,6,between Kunming ...,China,A1
4230,5,OCT,1945,Curtiss C-46A,41-5190,USAAF,4,near Uplands -  CA,USA,A1
4231,5,OCT,1945,Short Sunderland GR.5,PP111,RAF,0,Dunnet Head,U.K.,A1
4232,6,OCT,1945,Douglas Dakota IV (DC-3),KK123,RAF,6,Tosido,Myanmar,A1
4233,7,OCT,1945,Curtiss C-46A,42-107374,USAAF,,Casablanca-Cazes...,Morocco,A1
4234,7,OCT,1945,Curtiss C-46D,44-77924,USAAF,,,Unknown country,A1
4235,7,OCT,1945,Douglas Dakota III (DC-3),KG412,RAF,0,Bardufoss Airpor...,Norway,A1
4236,7,OCT,1945,Douglas C-47A (DC-3),43-15874,USAAF,,Kunming-Wujiaba ...,China,A1
4237,9,OCT,1945,Douglas Dakota IV (DC-3),KN698,RAF,0,near El Adem RAF Station,Libya,A1
4238,9,OCT,1945,Lockheed 18 Lodestar,NZ3511,New Zealand AF,0,Palmerston North...,New Zealand,A1
4239,10,OCT,1945,Curtiss C-46D,44-78490,USAAF,5,near Boana,P.N. Guinea,A1
4240,10,OCT,1945,PB2B-2 Catalina,A24-365,RAAF,,near Mindanao,Indonesia,A1
4241,10,OCT,1945,Douglas C-47B (DC-3),43-16292,USAAF,,unknown,Unknown country,A1
4242,11,OCT,1945,Lockheed 18 Lodestar,NC15555,National Airlines,0,Banana River -  FL...,USA,A1
4243,11,OCT,1945,Douglas Dakota C.3 (DC-3),KG433,RCAF,4,Down Ampney RAF ...,U.K.,A1
4244,12,OCT,1945,Curtiss C-46F,44-78591,USAAF,59,near Beijing-Nanyuan ...,China,A1
4245,12,OCT,1945,Douglas C-47B (DC-3),43-49678,USAAF,,near Calcutta-Dum Dum...,India,A1
4246,13,OCT,1945,Douglas C-47A (DC-3),42-100640,USAAF,7,within Huntingdon Warre...,U.K.,A1
4247,13,OCT,1945,Douglas C-47B (DC-3),476473,Soviet AF,6,Dívcí kameny -  ...,Czech Rep.,A1
4248,13,OCT,1945,Douglas C-47B (DC-3),43-49754,USAAF,6,between Okinawa ...,Pacific Ocean,A1
4249,13,OCT,1945,Douglas C-47B (DC-3),43-49768,USAAF,,unknown,Unknown country,A1
4250,14,OCT,1945,Curtiss C-46D,44-77380,USAAF,,,Unknown country,A1
4251,15,OCT,1945,Curtiss C-46D,44-78259,USAAF,,,Unknown country,A1
4252,15,OCT,1945,Douglas Dakota IV (DC-3),KN306,RAF,0,Akyab Main RAF S...,Myanmar,A1
4253,15,OCT,1945,Short Sunderland GR.5,NJ277,RAF,22,near Tuas,Malaysia,A1
4254,16,OCT,1945,Douglas Dakota IV (DC-3),KN246,RAF,0,Yangon-Mingalado...,Myanmar,A1
4255,16,OCT,1945,Douglas C-47A (DC-3),42-92929,USAAF,12,near Saipan -  Mariana ...,Pacific Ocean,A1
4256,16,OCT,1945,Douglas C-47 (DC-3),41-38664,USAAF,,unknown,Unknown country,A1
4257,17,OCT,1945,Curtiss C-46D,44-77786,USAAF,,,Unknown country,A1
4258,17,OCT,1945,Douglas Dakota III (DC-3),FL529,RAF,0,Phuket Airport (...,Thailand,A1
4259,17,OCT,1945,Douglas Dakota III (DC-3),KG514,RAF,0,Welford RAF Station,U.K.,A1
4260,17,OCT,1945,Avro 685 York C.1,MW161,RAF,0,Riccall RAF Station,U.K.,A1
4261,19,OCT,1945,Douglas Dakota III (DC-3),FL577,RAF,0,Bangkok-Don Muan...,Thailand,A1
4262,19,OCT,1945,Douglas Dakota III (DC-3),KG439,RCAF,4,Purley -  Surrey,U.K.,A1
4263,19,OCT,1945,Douglas Dakota IV (DC-3),KJ987,RAF,1,Chittagong-Paten...,Bangladesh,A1
4264,20,OCT,1945,Curtiss C-46D,42-101159,USAAF,,,Unknown country,A1
4265,20,OCT,1945,Curtiss C-46D,44-77386,USAAF,,,Unknown country,A1
4266,20,OCT,1945,Curtiss C-46D,44-78330,USAAF,,,Unknown country,A1
4267,20,OCT,1945,Douglas DC-3C,104,CNAC,13+ 7,near Suichang,China,A1
4268,21,OCT,1945,Douglas C-47B (DC-3),43-48893,USAAF,19,near Anchorage -  AK,USA,A1
4269,22,OCT,1945,Douglas C-47B (DC-3),44-76316,USAAF,,Manila,Philippines,O1
4270,23,OCT,1945,Douglas Dakota IV (DC-3),KJ957,RAF,14,near Chiringa,Bangladesh,A1
4271,23,OCT,1945,Douglas C-47B (DC-3),43-49683,USAAF,,,India,A1
4272,23,OCT,1945,Douglas C-47B (DC-3),44-76232,USAAF,6,unknown,Myanmar,A1
4273,24,OCT,1945,Douglas C-47A (DC-3),G-AGHR,BOAC,0,Malta-Luqa Airpo...,Malta,A1
4274,24,OCT,1945,Douglas Dakota IV (DC-3),KN678,RAF,0,Arkonam,India,A1
4275,25,OCT,1945,Curtiss C-46D,44-77568,USAAF,,,Unknown country,A1
4276,26,OCT,1945,Curtiss C-46D,44-77561,USAAF,3,near Coos Bay -  OR,USA,A1
4277,27,OCT,1945,Curtiss C-46D,44-78293,USAAF,,Hankou,China,A1
4278,27,OCT,1945,Douglas C-47B (DC-3),44-76230,USAAF,6,near Pennville -  IN,USA,A1
4279,28,OCT,1945,Douglas Dakota III (DC-3),FZ686,RAF,4,Welford RAF Station,U.K.,A1
4280,29,OCT,1945,Douglas C-54B (DC-4),42-72421,USAAF,5,near Anchorage-Elmend...,USA,A1
4281,30,OCT,1945,Douglas C-47A (DC-3),42-100829,USAAF,15,near Cuneo,Italy,A1
4282,30,OCT,1945,Curtiss C-46A,43-47228,USAAF,45,near Zhijiang,China,A1
4283,31,OCT,1945,Junkers Ju-52/3mce,OH-LAK,Aero OY,0,Hyvinkaa,Finland,A1
4284,31,OCT,1945,Latécoère 631,F-BANT,Air France,2,Laguna de Rocha,Uruguay,A2
4285,31,OCT,1945,Douglas R4D-7 (DC-3),99834,US Navy,14,near Page -  OK,USA,A1
4286,,OCT,1945,Douglas DC-2-115D,EC-AAB,Iberia,,,Unknown country,A1
4287,1,NOV,1945,Douglas Dakota IV (DC-3),KN248,RAF,0,near Phnom Penh,Cambodia,A1
4288,1,NOV,1945,Douglas C-47A (DC-3),42-93041,USAAF,26,near Herrenalb,Germany,A1
4289,2,NOV,1945,Short Sunderland GR.5,EJ138,RAF,0,Trondheim,Norway,O1
4290,2,NOV,1945,Consolidated PBY-5A Catalina,46487,US Navy,,within Greenland,Greenland,A1
4291,2,NOV,1945,Douglas C-47B (DC-3),43-16335,USAAF,,unknown,Unknown country,A1
4292,3,NOV,1945,Douglas C-54G (DC-4),45-528,USAAF,44,near Chukha,Bhutan,A1
4293,3,NOV,1945,Avro 685 York C.1,MW120,RAF,0,Colombo-Ratmalan...,Sri Lanka,A1
4294,4,NOV,1945,Boeing 314,NC18601,Pan Am,0,near Honolulu -  HI,Pacific Ocean,A1
4295,4,NOV,1945,Douglas Dakota IV (DC-3),KN204,RAF,0,Yangon-Mingalado...,Myanmar,A1
4296,4,NOV,1945,Douglas C-47A (DC-3),43-15104,USAAF,,Schlatt,Germany,A1
4297,8,NOV,1945,Curtiss C-46D,44-78453,USAAF,,,Unknown country,A1
4298,8,NOV,1945,Martin PBM-5 Mariner,59113,US Navy,12,near Corpus Christi N...,USA,A1
4299,8,NOV,1945,Martin PBM-3S Mariner,1710,US Navy,10,near Corpus Christi N...,USA,A1
4300,9,NOV,1945,Douglas C-47A (DC-3),42-24383,USAAF,24,near Palermo-Boccadif...,Italy,A1
4301,10,NOV,1945,Amiot AAC.1 (Ju-52),F-BANO,Air France,,Paris-Le Bourget...,France,U1
4302,10,NOV,1945,Douglas C-47A (DC-3),43-16025,USAAF,,Chézy-sur-Marne,France,A1
4303,10,NOV,1945,Douglas C-47A (DC-3),42-93070,USAAF,,near Ettringen,Germany,A1
4304,13,NOV,1945,Douglas C-49A (DC-3),VH-CDC,ANA - opf USAAC,16,near Tacloban Airport...,Philippines,A1
4305,14,NOV,1945,Douglas Dakota III (DC-3),KG598,RAF,6,El Adem RAF Station,Libya,A1
4306,15,NOV,1945,Douglas C-47A (DC-3),A65-54,RAAF,28,near Jacquinot Bay,P.N. Guinea,A1
4307,17,NOV,1945,Douglas Dakota III (DC-3),KG310,RCAF,0,near Wien-Schwechat R...,Austria,A1
4308,18,NOV,1945,Douglas C-47A (DC-3),43-48068,USAAF,,Atlanta AAF -  GA ...,USA,A1
4309,19,NOV,1945,Curtiss C-46D,44-78478,USAAF,,,Unknown country,A1
4310,19,NOV,1945,Curtiss R5C-1 (C-46),39592,USMC,0,Hishi-no-Shima,Japan,A1
4311,19,NOV,1945,Douglas R4D-5 (DC-3),17170,US Navy,0,Peleliu Airfield,Palau,A1
4312,23,NOV,1945,Amiot AAC.1 (Ju-52),F-BAKL,Air France,,Toulouse,France,U1
4313,23,NOV,1945,Douglas Dakota III (DC-3),KG520,RAF,26,near Jakarta-Kemayora...,Indonesia,A1
4314,24,NOV,1945,Douglas C-47A (DC-3),42-92976,USAAF,,Warazup,Myanmar,A1
4315,25,NOV,1945,Douglas C-47B (DC-3),43-16332,USAAF,,unknown,Pacific Ocean,A1
4316,27,NOV,1945,Douglas C-47B (DC-3),43-16261,USAAF,3,near Bruas,Malaysia,A1
4317,28,NOV,1945,Douglas C-47B (DC-3),43-16374,USAAF,9,near Auburn -  CA,USA,A1
4318,28,NOV,1945,Consolidated PBY-5A Catalina,33983,US Navy,1,Palmyra Island A...,U.S. M.O. Islands,A1
4319,30,NOV,1945,Douglas R5D-1 (DC-4),39147,US Navy,0,near Manila,Philippines,A1
4320,30,NOV,1945,Douglas Dakota IV (DC-3),KN432,RAF,8,Cairo-Almaza Air...,Egypt,A1
4321,30,NOV,1945,Douglas C-47A (DC-3),96,CNAC,,unknown,Unknown country,A1
4322,,NOV,1945,Curtiss C-46D,44-77740,USAAF,,,Unknown country,A1
4323,,NOV,1945,Douglas C-47 (DC-3),,Polyarnaya Aviatsiya,0,Tiksi,Russia,A1
4324,,NOV,1945,Douglas C-47 (DC-3),,Polyarnaya Aviatsiya,0,Dudinka,Russia,A1
4325,1,DEC,1945,Lockheed C-60A-1-LO Lodestar,NC1622,Texaco,0,Pittsburgh-Alleg...,USA,A1
4326,2,DEC,1945,Handley Page HP.68 Hermes 1,G-AGSS,Handley Page,2,near Radlett Airfield,U.K.,A1
4327,3,DEC,1945,PB2B-2 Catalina,A24-301,RAAF,,Jinamoc Island -  ...,Philippines,A1
4328,3,DEC,1945,Douglas C-47B (DC-3),43-48602,USAAF,14,near Carlos Pellegrin...,Argentina,A1
4329,4,DEC,1945,Douglas C-47B (DC-3),43-49262,USAAF,17,,Unknown country,A1
4330,4,DEC,1945,Douglas C-47A (DC-3),A65-53,RAAF,0,Port Moresby-Sev...,P.N. Guinea,A1
4331,4,DEC,1945,Douglas C-47B (DC-3),CCCP-L950,Aeroflot - Uralsk,16,near Novosibirsk-Seve...,Russia,A1
4332,4,DEC,1945,Boeing B-17G,SE-BAM,AB Aerotransport,6,Stallarholmen,Sweden,A1
4333,4,DEC,1945,Douglas C-47 (DC-3),CCCP-N362,Polyarnaya Aviatsiya,0,near Tiksi,Russia,A2
4334,5,DEC,1945,Martin PBM-5 Mariner,59225,US Navy,14,near Cape Canaveral -  ...,Atlantic Ocean,A1
4335,6,DEC,1945,Douglas C-47A (DC-3),42-92782,USAAF,,unknown,Unknown country,A1
4336,7,DEC,1945,Douglas C-47A (DC-3),42-108967,USAAF,,unknown,Unknown country,A1
4337,8,DEC,1945,Curtiss C-46D,44-77499,USAAF,,,Unknown country,A1
4338,8,DEC,1945,Douglas C-47B (DC-3),45-922,USAAF - op.for Northwest Airlines,19,near Billings Municip...,USA,A1
4339,8,DEC,1945,Ford 5-AT-C Tri-Motor,643,Colombian AF,,,Colombia,A1
4340,11,DEC,1945,Douglas C-47A (DC-3),43-15423,USAAF,4,between Tachikaw...,Pacific Ocean,A1
4341,12,DEC,1945,Douglas C-47B (DC-3),A65-107,RAAF,0+ 1,Wama Airstrip,P.N. Guinea,O1
4342,13,DEC,1945,Douglas C-47A (DC-3),43-15231,USAAF,8,Mt Mandalgan -  Ne...,Philippines,A1
4343,14,DEC,1945,Lockheed C-60A-1-LO Lodestar,OO-CAK,Sabena,0,Kouandé,Benin,A1
4344,14,DEC,1945,Douglas C-47B (DC-3),43-49791,USAAF,4,near Heraklion Airport,Greece,A1
4345,14,DEC,1945,Douglas C-47A (DC-3),42-93159,USAAF,0,near Villieu,France,A1
4346,14,DEC,1945,Consolidated PBY-5A Catalina,A24-69,RAAF,0,Darwin Harbor -  NT,Australia,O1
4347,15,DEC,1945,Douglas Dakota IV (DC-3),KJ842,RAF,0,Phuket Island,Thailand,A1
4348,16,DEC,1945,Douglas Dakota III (DC-3),FL573,RAF,0+ 1,Jakarta-Kemayora...,Indonesia,A1
4349,17,DEC,1945,Fokker F.XII,OY-DIG,DDL,,København-Kastr...,Denmark,A1
4350,17,DEC,1945,Douglas Dakota IV (DC-3),KN444,RAF,0,Coulsdon,U.K.,A1
4351,18,DEC,1945,Douglas Dakota IV (DC-3),KN413,RAF,17,Voksenkollen,Norway,A1
4352,18,DEC,1945,Douglas C-47 (DC-3),CCCP-N367,Polyarnaya Aviatsiya,0,Tiksi Airport (IKS),Russia,A1
4353,19,DEC,1945,Douglas C-47B (DC-3),A65-83,RAAF,25,Timor Sea,Indian Ocean,A1
4354,20,DEC,1945,Douglas C-47A (DC-3),42-93663,USAAF,,Sendai-Yanomi Field,Japan,A1
4355,20,DEC,1945,Douglas C-47 (DC-3),41-38700,USAAF,,unknown,Unknown country,A1
4356,22,DEC,1945,Douglas C-53 Skytrooper (DC-3),NC36516,USAAF,1,near Jacksonville AAB...,USA,A1
4357,23,DEC,1945,Douglas Dakota III (DC-3),FL537,RAF,0,Patenga,India,A1
4358,23,DEC,1945,Douglas C-47B (DC-3),986,RCAF,0,Goose Bay Airpor...,Canada,A1
4359,23,DEC,1945,Douglas VC-47B (DC-3),43-49490,USAAF,0,near Bourneville -  OH,USA,A1
4360,24,DEC,1945,Douglas C-47A (DC-3),42-93039,USAAF,,Kengersfeld,Germany,A1
4361,24,DEC,1945,Douglas C-47A (DC-3),Q-1,Dutch Navy,,,Unknown country,A1
4362,25,DEC,1945,Lockheed C-60A Lodestar,F-BALV,Ministère de l'Air - DTI - op.for Air France,8,near Bangui,C.A.R.,A1
4363,25,DEC,1945,Douglas C-47 (DC-3),,Polyarnaya Aviatsiya,10,Dudinka,Russia,A1
4364,25,DEC,1945,Douglas C-47B (DC-3),43-48315,USAAF,2,near Ontario -  CA,USA,A1
4365,29,DEC,1945,Avro 685 York C.1,MW134,RAF,1,Bashley,U.K.,A1
4366,30,DEC,1945,Douglas DC-3-201,NC18123,Eastern Air Lines,1,New York-La Guar...,USA,A1
4367,30,DEC,1945,Douglas C-47B (DC-3),43-16219,USAAF,,unknown,Unknown country,A1
4368,31,DEC,1945,Douglas Dakota III (DC-3),FL652,RAF,0,Crosby RAF Station,U.K.,A1
4369,,DEC,1945,Douglas DC-2-243,C-156,TACA de Colombia,,Madrid Air Base,Colombia,U1
4370,,,1945,Douglas C-54A (DC-4),42-107453,USAAF,,,Unknown country,U1
4371,,,1945,Douglas C-47A (DC-3),42-92029,USAAF,,unknown,Unknown country,A1
4372,,,1945,Douglas C-47A (DC-3),42-93369,USAAF,,Chungking,China,U1
4373,,,1945,Douglas Dakota III (DC-3),KG678,RAF,,unknown,Unknown country,A1
4374,,,1945,Douglas C-47 (DC-3),,USAAF,9,near Ostia,Italy,A1
4375,19,JAN,1945,Douglas C-47A (DC-3),42-92424,USAAF,0,Saint-André-de-...,France,A1
4376,19,JAN,1945,Douglas Dakota IV (DC-3),KJ931,RAF,3,North Sea,Atlantic Ocean,A1
4377,20,JAN,1945,PBV-1A Canso A (PBY-5A),11065,RCAF,,Reykjavik,Iceland,A1
4378,20,JAN,1945,Douglas Dakota IV (DC-3),KJ948,RAF,,Comilla Airport ...,Bangladesh,A1
4379,20,JAN,1945,Douglas C-47A (DC-3),42-93378,USAAF,,near Namtu,Myanmar,A1
4380,20,JAN,1945,Junkers Ju-52/3mg4e,4V+CK,German AF,0,near Gmina Inowroclaw,Poland,C1
4381,21,JAN,1945,Curtiss C-46A,42-101067,USAAF,,South West Pacific,Pacific Ocean,A1
4382,21,JAN,1945,Curtiss C-46D,42-101165,USAAF,,,Unknown country,A1
4383,21,JAN,1945,Douglas C-47A (DC-3),42-24045,USAAF,,Membury USAAF St...,U.K.,A1
4384,21,JAN,1945,Douglas C-47A (DC-3),42-108882,USAAF,,Samar Island,Philippines,A1
4385,21,JAN,1945,Douglas C-47A (DC-3),42-92790,USAAF,,Sorido -  Biak,Indonesia,A1
4386,21,JAN,1945,Douglas C-47A (DC-3),42-24406,USAAF,,Tacloban Airport...,Philippines,C1
4387,21,JAN,1945,Douglas C-47A (DC-3),42-93483,USAAF,,unknown,Unknown country,A1
4388,22,JAN,1945,Curtiss C-46D,44-77570,USAAF,,Port Lyautey NAS...,Morocco,A1
4389,22,JAN,1945,Curtiss C-46A,42-96680,USAAF,,Luliang,China,A1
4390,22,JAN,1945,Douglas C-47A (DC-3),CCCP-L901,Aeroflot,0,near Minsk-1 Internat...,Belarus,A1
4391,22,JAN,1945,Junkers Ju-52/3mg8e,4V+BR,German AF,1,Bad Steinbach -  B...,Germany,A1
4392,22,JAN,1945,Douglas C-47A (DC-3),43-15832,USAAF,,near Chanyi,China,A1
4393,22,JAN,1945,Douglas C-47A (DC-3),42-108956,USAAF,,between Suichwan...,China,A1
4394,22,JAN,1945,Consolidated C-109,42-51716,USAAF,,near Kweiyang,China,A1
4395,22,JAN,1945,Douglas C-47A (DC-3),43-15384,USAAF,0,near Luliang,China,A1
4396,22,JAN,1945,Douglas C-47B (DC-3),CCCP-L963,Aeroflot - Azerbaijan,6,near Chervlennaya -  Sh...,Russia,A1
4397,23,JAN,1945,Douglas C-47A (DC-3),42-24020,USAAF,,Malden AAF -  MO (...,USA,A1
4398,23,JAN,1945,Douglas C-47B (DC-3),43-48313,USAAF,5,Corsica ?,France,A1
4399,23,JAN,1945,Douglas C-47A (DC-3),43-30701,USAAF,,Emison Auxiliary...,USA,A1
4400,23,JAN,1945,Lockheed C-60A Lodestar,42-55982,USAAF,,Nashville Munici...,USA,A2
4401,23,JAN,1945,Douglas C-47B (DC-3),43-16192,USAAF,,near Namtu,Myanmar,C1
4402,23,JAN,1945,Douglas C-47A (DC-3),43-15895,USAAF,,Hochih,China,A1
4403,23,JAN,1945,Douglas C-47B (DC-3),43-48760,USAAF,,unknown,Unknown country,A1
4404,23,JAN,1945,Douglas C-47A (DC-3),43-15244,USAAF,,unknown,Unknown country,A1
4405,23,JAN,1945,Douglas C-47A (DC-3),42-93668,USAAF,,Unknown,Unknown country,U1
4406,23,JAN,1945,Junkers Ju-52/3m,,German AF,3,Marienfeld -  near...,Germany,C1
4407,24,JAN,1945,Douglas C-47A (DC-3),42-24372,USAAF,,Tengchung,China,A1
4408,24,JAN,1945,Douglas C-47B (DC-3),43-16387,USAAF,,Gore Field -  MT,USA,A1
4409,24,JAN,1945,Consolidated PBY-5A Catalina,48417,US Navy,5,Jamaica Bay -  Lon...,USA,A1
4410,24,JAN,1945,Douglas C-47A (DC-3),43-15915,USAAF,,unknown,Unknown country,A1
4411,24,JAN,1945,Douglas DC-3 (Nakajima L2D),J-BKOA,Imperial Japanese Airways,,between Denpasar...,Indonesia,A1
4412,25,JAN,1945,Curtiss C-46D,44-77396,USAAF,,,Unknown country,A1
4413,25,JAN,1945,Douglas C-47A (DC-3),43-15523,USAAF,,Nashville Metrop...,USA,A1
4414,25,JAN,1945,Consolidated C-87,44-39279,USAAF,,Luliang,China,A1
4415,25,JAN,1945,Douglas Dakota III (DC-3),FD884,RAF,,Hathazari Airfield,Bangladesh,A1
4416,25,JAN,1945,Douglas C-47B (DC-3),978,RCAF,,Biggin Hill Airp...,U.K.,A1
4417,25,JAN,1945,Lockheed C-60A Lodestar,TTL-6001,Mexican AF,9,near Mexico City Inte...,Mexico,A1
4418,26,JAN,1945,Douglas C-47 (DC-3),41-38636,USAAF,4,Birmingham Army ...,USA,A1
4419,26,JAN,1945,Curtiss C-46A,42-3669,USAAF,3,near Bell Center -  OH,USA,A1
4420,26,JAN,1945,Lockheed C-60A Lodestar,A67-6,RAAF,0,Merauke-Mopah Ai...,Indonesia,A1
4421,27,JAN,1945,Douglas C-53 Skytrooper (DC-3),42-15531,USAAF,,Malignano,Italy,A1
4422,27,JAN,1945,Junkers Ju-52/3mg4e,4V+PH,German AF,0,near Legnica,Poland,A1
4423,27,JAN,1945,Consolidated PBY-5 Catalina,NZ4022,New Zealand AF,12,near Beqa Island,Fiji,A1
4424,27,JAN,1945,Consolidated C-109,42-51774,USAAF,,Kunming-Wujiaba ...,China,A1
4425,27,JAN,1945,Junkers Ju-52/3m,G6+AP,German AF,2,Papa,Hungary,C1
4426,28,JAN,1945,Douglas C-47B (DC-3),43-48638,USAAF,,Panghkam,Myanmar,A2
4427,28,JAN,1945,Consolidated PBY-5 Catalina,2378,US Navy,3,Escambia Bay -  FL,USA,A1
4428,28,JAN,1945,Consolidated PBY-5 Catalina,8411,US Navy,5,St Johns River -  FL,USA,A1
4429,28,JAN,1945,Consolidated PBY-5A Catalina,8093,US Navy,2,,Greece,A1
4430,28,JAN,1945,Douglas C-47A (DC-3),43-30758,USAAF,,unknown,Unknown country,A1
4431,28,JAN,1945,Douglas Dakota IV (DC-3),KJ944,RAF,,Imphal Airport (...,India,A1
4432,29,JAN,1945,Curtiss C-46D,42-101039,USAAF,,,Unknown country,A1
4433,29,JAN,1945,Curtiss C-46D,42-101157,USAAF,,,Unknown country,A1
4434,29,JAN,1945,Douglas C-47A (DC-3),42-23342,USAAF,,Harlaxton RAF St...,U.K.,A1
4435,29,JAN,1945,PB2B-1 Catalina,A24-204,RAAF,,near Truscott -  WA,Australia,A1
4436,29,JAN,1945,Douglas Dakota III (DC-3),KG610,RAF,,Nivelles Advance...,Belgium,A1
4437,30,JAN,1945,Curtiss C-46D,42-96819,USAAF,,,Unknown country,A1
4438,30,JAN,1945,Consolidated Catalina,JX367,RAF,2,Richards Bay,South Africa,A1
4439,31,JAN,1945,Consolidated PBY-5A Catalina,46611,US Navy,9,Brookings -  OR,USA,A1
4440,31,JAN,1945,Douglas Dakota III (DC-3),KG757,RAF,,Tulihal Air Base...,India,A1
4441,31,JAN,1945,Douglas C-47A (DC-3),43-15927,USAAF,,Palel,India,A1
4442,31,JAN,1945,Junkers Ju-52/3m,G6-QV,German AF,12,eastern Germany,Germany,A1
4443,,JAN,1945,Junkers Ju-52/3m,,German AF,,near Lista,Norway,A1
4444,1,FEB,1945,Consolidated PBY-5A Catalina,48268,US Navy,10,Kaneohe NAS -  Oah...,USA,A1
4445,1,FEB,1945,Douglas Dakota IV (DC-3),KK194,RAF,3,Ben Talaidh -  Mull,U.K.,A1
4446,1,FEB,1945,Douglas Dakota IV (DC-3),KN289,RAF,0,near Bury -  QC,Canada,A1
4447,2,FEB,1945,Curtiss C-46A,42-101089,USAAF,,,Unknown country,A1
4448,2,FEB,1945,Curtiss C-46D,44-77339,USAAF,,,Unknown country,A1
4449,2,FEB,1945,Curtiss R5C-1 (C-46),39504,USMC,7,near Los Angeles -  CA,USA,A1
4450,2,FEB,1945,Douglas C-47 (DC-3),41-18603,USAAF,23,near Montieri,Italy,A1
4451,2,FEB,1945,Douglas C-47A (DC-3),42-93337,USAAF,,Irrawaddy River,Myanmar,A1
4452,2,FEB,1945,Douglas C-47B (DC-3),43-48771,USAAF,,near Schweich -  Trier,Germany,A1
4453,2,FEB,1945,Consolidated C-109,44-49013,USAAF,4,near Tezpur Airport (...,India,A1
4454,4,FEB,1945,Curtiss C-46A,42-107386,USAAF,34,near Karoi,India,A1
4455,4,FEB,1945,Consolidated C-109,42-51921,USAAF,5,near Luliang,China,A1
4456,4,FEB,1945,Junkers Ju-52/3mg5e,4V+FV,German AF,4,Budapest area,Hungary,A1
4457,5,FEB,1945,Curtiss C-46D,44-77402,USAAF,,,Unknown country,A1
4458,5,FEB,1945,Curtiss C-46D,42-101228,USAAF,,near Budalin,Myanmar,A1
4459,5,FEB,1945,Douglas C-47A (DC-3),42-92707,USAAF,11,near Napoli,Italy,A1
4460,5,FEB,1945,Lockheed C-60A Lodestar,42-55902,USAAF,,near Deming -  TX,USA,A1
4461,5,FEB,1945,Consolidated C-87,44-39231,USAAF,,Hsinching Airfie...,China,A1
4462,5,FEB,1945,Douglas Dakota III (DC-3),KG409,RAF,,Four Marks -  Hants.,U.K.,A1
4463,5,FEB,1945,Douglas C-47A (DC-3),42-93357,USAAF,,Muse Airfield,Myanmar,A1
4464,6,FEB,1945,Curtiss C-46A,43-46987,USAAF,,Poltava Airport ...,Ukraine,A1
4465,6,FEB,1945,Douglas Dakota III (DC-3),KG630,RAF,23,Hunters Burgh,U.K.,A1
4466,6,FEB,1945,Douglas C-47A (DC-3),42-93359,USAAF,,Muse Airfield,Myanmar,A1
4467,6,FEB,1945,Douglas C-47B (DC-3),43-48593,USAAF,,,China,A1
4468,6,FEB,1945,Douglas DC-3 (Showa L2D),70,Japan Navy,0,Manila-Nichols A...,Philippines,C1
4469,6,FEB,1945,Douglas Dakota IV (DC-3),KN271,RAF,4,near Greenland,Atlantic Ocean,A1
4470,6,FEB,1945,Douglas C-47B (DC-3),43-16319,USAAF,,unknown,Unknown country,A1
4471,7,FEB,1945,Douglas C-47B (DC-3),43-16185,USAAF,,near Chanyi,China,A1
4472,7,FEB,1945,Douglas C-47B (DC-3),43-49657,USAAF,37,near Hechi,China,A1
4473,7,FEB,1945,Douglas Dakota IV (DC-3),KJ845,RAF,,near Myitkyina,Myanmar,A1
4474,7,FEB,1945,Junkers Ju-52/3m,4V+NU,German AF,4,Budapest area,Hungary,A1
4475,8,FEB,1945,Douglas C-47B (DC-3),43-49231,USAAF,,Mapientien,China,A1
4476,8,FEB,1945,Curtiss C-46D,44-77491,USAAF,,,Unknown country,A1
4477,8,FEB,1945,Curtiss C-46A,42-96644,USAAF,,,China,A1
4478,8,FEB,1945,Douglas C-47B (DC-3),43-49489,USAAF,,near Peishiyi,China,A1
4479,8,FEB,1945,PBV-1A Canso A (PBY-5A),11007,RCAF,0,near Tofino -  BC,Canada,A1
4480,8,FEB,1945,Douglas C-47A (DC-3),43-15396,USAAF,,near Santahar,Bangladesh,A1
4481,9,FEB,1945,Curtiss C-46A,42-60975,USAAF,,,Unknown country,U1
4482,9,FEB,1945,Douglas C-47B (DC-3),43-49644,USAAF,,near Mangshih,India,A1
