Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
19048,9,JAN,2000,Boeing 747-230F,HL7441,Korean Air,0,near Penang Internati...,Malaysia,A2
19049,10,JAN,2000,Saab 340B,HB-AKK,Crossair,10,near Nassenwil,Switzerland,A1
19050,13,JAN,2000,Shorts 360-300,HB-AAM,Avisto - op.for Sirte Oil Company,22,near Marsa el-Brega,Libya,A1
19051,14,JAN,2000,Lockheed C-130B Hercules,TAM60,Bolivian AF,5,Chimore Airport,Bolivia,A1
19052,14,JAN,2000,Hawker Siddeley HS-748,HC-BEY,TAME Ecuador,0,Guayaquil-Simon ...,Ecuador,A2
19053,15,JAN,2000,Let L-410UVP-E,YS-09-C,TACSA,5,San José,Costa Rica,A1
19054,20,JAN,2000,Airbus A320-231,G-VCED,Airtours Int.,0,London-Gatwick A...,U.K.,A2
19055,27,JAN,2000,Mitsubishi Mu-300 Diamond IA,N900WJ,Matrix Aviation,0,Dallas-Love Fiel...,USA,A1
19056,30,JAN,2000,Airbus A310-304,5Y-BEN,Kenya Airways,169,near Abidjan-Felix Ho...,Cote d'Ivoire,A1
19057,31,JAN,2000,DC-9-83 (MD-83),N963AS,Alaska Airlines,88,near Anacapa Island -  CA,USA,A1
19058,31,JAN,2000,Embraer EMB-110P1 Bandeirante,PP-EAM,Amazonas State Gov.,0,Envira -  AM,Brazil,A1
19059,2,FEB,2000,Airbus A300B2-203,EP-IBR,Iran Air,0+ 8,Tehran-Mehrabad ...,Iran,O1
19060,2,FEB,2000,Lockheed C-130 Hercules,,Iran AF,8,Tehran-Mehrabad ...,Iran,A1
19061,3,FEB,2000,Boeing 707-351C,ST-APY,TAAT,0,near Mwanza Airport (...,Tanzania,A1
19062,3,FEB,2000,Cessna 208 Caravan I,8Q-HIF,Hummingbird Island Airways,0,Filitheyo Seapla...,Maldives,A2
19063,6,FEB,2000,Boeing 727-228,YA-FAY,Ariana Afghan Airlines,0,London-Stansted ...,U.K.,H2
19064,8,FEB,2000,Embraer EMB-110P2 Bandeirante,C9-AUH,Sabin Air,0+ 1,near Maputo Internati...,Mozambique,A1
